Variável;Descrição
ID;Matrícula do funcionário
Funcionário_deixou_a_empresa;Marcação sem funcionário deixou a empresa recentemente
Idade;Idade do funcionário
Frequência de Viagens;Frequência de viagens a trabalho do funcionário
Distância_do_trabalho;Distância em Km até o trabalho
Formação;Nível de formação
E-Sat;Satisfação com o clima organizacional
Gênero;Gênero do funcionário
Estado_Civil;Estado civil do funcionário
Salário;Salário mensal
Qte_Empresas_Trabalhadas;Quantidade de empresas que o funcionário já trabalhou
Faz_hora_extras?;Se funcionário costuma fazer hora extra
Perc_de_aumento;Percentual de aumento de salário de 2018 a 2019
Qte_ações_da_empresa;Qte de lotes de ações da empresa que o funcionário possui
Tempo_de_carreira;Tempo em anos que o funcionário tem de carreira
Horas_de_treinamento;Qte de horas de treinamento que o funcionário teve no ano passado
Equilibrio_de_Vida;Nota que o funcionário deu para seu equilibrio entre vida pessoal e profissional
Tempo_de_empresa;Tempo em anos que o funcionário trabalha na empresa
Anos_no_mesmo_cargo;Qte de tempo em anos que o funcionário atua no mesmo cargo
Anos_desde_a_ultima_promocao;Qte de tempo em anos que o funcionário teve a última promoção
Anos_com_o_mesmo_chefe;Qte de tempo em anos que o funcionário responde para o mesmo chefe
